#Word 1	Word 2	Human (mean)
낮	여름	3.94
여름	가뭄	7.16
여름	자연	5.63
낮	새벽	7.53
자연	환경	8.31
환경	생태학	8.81
자연	남자	6.25
남자	여자	8.30
남자	도지사	5.25
살인	과실치사	8.53
막장	드라마	7.94
오페라	공연	6.88
삶	교훈	5.94
초점	삶	4.06
생산	승무원	6.25
텔레비전	영화	7.72
애인	언쟁	6.19
시청자	연속극	2.97
가능성	소녀	1.94
인구	개발	3.75
도덕	중요성	3.31
도덕	결혼	3.69
멕시코	브라질	7.44
성별	평등	6.41
변화	태도	5.44
가족	계획	6.25
오페라	산업	2.63
설탕	접근	0.88
연습	기관	3.19
정부	문화	4.69
문제	도전	6.75
크기	두각	5.31
국가	시민	7.31
행성	사람들	5.75
개발	이슈	3.97
경험	음악	3.47
음악	프로젝트	3.63
유리	금속	5.56
알루미늄	금속	7.83
기회	신용	3.88
전시회	기념품	5.31
콘서트	거장	6.81
락	재즈	7.59
박물관	영화관	7.19
관찰	구조	4.38
우주	세계	6.53
보존	세계	6.19
입장	티켓	7.69
소나기	태풍	6.31
소나기	홍수	6.03
날씨	예보	8.34
재난	지역	6.25
도지사	사무실	6.34
건축	세기	3.78
